57.141.0.14 - - [29/Jun/2025:08:37:34 +0100] "GET / HTTP/1.1" 200 65375 "-" "meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)"
173.252.83.4 - - [29/Jun/2025:11:47:52 +0100] "GET /robots.txt HTTP/1.1" 206 6213 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
104.210.140.130 - - [29/Jun/2025:14:36:42 +0100] "GET /robots.txt HTTP/1.1" 200 6114 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot"
66.249.93.167 - - [29/Jun/2025:15:36:43 +0100] "GET /.well-known/traffic-advice HTTP/1.1" 404 6260 "-" "Chrome Privacy Preserving Prefetch Proxy"
72.14.201.120 - - [29/Jun/2025:15:36:43 +0100] "GET / HTTP/1.1" 200 18714 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
66.249.79.36 - - [29/Jun/2025:19:16:26 +0100] "GET /robots.txt HTTP/1.1" 200 6170 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.32 - - [29/Jun/2025:19:16:26 +0100] "GET /assets/img/hs.png HTTP/1.1" 304 6002 "-" "Googlebot-Image/1.0"
156.59.198.136 - - [29/Jun/2025:19:59:47 +0100] "GET /assets/img/portfolio/Blue.png HTTP/1.1" 200 852344 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
156.59.198.135 - - [29/Jun/2025:20:00:30 +0100] "GET /assets/img/portfolio/games%20thumb.png HTTP/1.1" 200 1088796 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
47.128.28.45 - - [29/Jun/2025:20:00:54 +0100] "GET /robots.txt HTTP/1.1" 200 6138 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
4.227.36.11 - - [29/Jun/2025:20:02:00 +0100] "GET /robots.txt HTTP/1.1" 200 6114 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
20.171.207.50 - - [29/Jun/2025:20:02:01 +0100] "GET / HTTP/1.1" 200 18658 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
20.171.207.50 - - [29/Jun/2025:20:02:03 +0100] "GET /assets/img/jesus-loves-austin-0O0gux4OZX4-unsplash.jpg HTTP/1.1" 200 223503 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
20.171.207.50 - - [29/Jun/2025:20:02:06 +0100] "GET /assets/img/clients/Southlander_profile_2.jpg HTTP/1.1" 200 345319 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
20.171.207.50 - - [29/Jun/2025:20:02:09 +0100] "GET /assets/img/hs.png HTTP/1.1" 200 2124218 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
20.171.207.50 - - [29/Jun/2025:20:02:15 +0100] "GET /assets/img/valorant.jpg HTTP/1.1" 200 366737 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
20.171.207.50 - - [29/Jun/2025:20:02:17 +0100] "GET /assets/img/portfolio/MVIMG_20181110_191702%20(1).jpg HTTP/1.1" 200 336885 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
